version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v0.3.0,2013-05-29,1369856771,0,0,0,0,0,0,13,225,0,0,87,26954
v0.3.3,2013-06-20,1371766458,0,0,0,0,0,0,13,225,0,0,87,27007
v0.4.0,2013-07-17,1374086011,0,0,0,0,0,0,12,210,0,0,88,27175
v0.4.1,2013-07-26,1374878032,0,0,0,0,0,0,12,210,0,0,88,27175
v0.4.2,2013-12-17,1387346417,0,0,0,0,0,0,12,210,0,0,88,27175
v0.10.0,2014-03-21,1395434042,0,0,0,0,0,0,12,210,0,0,88,27175
v0.10.0-rc1,2014-03-18,1395205772,0,0,0,0,0,0,12,210,0,0,88,27185
v0.11.0,2014-07-17,1405630026,0,0,0,0,0,0,12,210,0,0,88,27159
v0.11.0-rc1,2014-07-12,1405219845,0,0,0,0,0,0,12,210,0,0,88,27165
v0.11.1,2014-07-25,1406312952,0,0,0,0,0,0,12,210,0,0,88,27165
v0.13.0,2015-03-10,1426023929,0,0,0,0,0,0,12,210,0,0,88,27165
v0.13.0-rc1,2015-02-22,1424640373,0,0,0,0,0,0,12,210,0,0,88,27207
v0.13.0-rc2,2015-03-03,1425411961,0,0,0,0,0,0,12,210,0,0,88,27207
v0.13.1,2015-03-16,1426549830,0,0,0,0,0,0,12,205,0,0,88,26884
v0.13.2,2015-04-18,1429396128,0,0,0,0,0,0,10,165,0,0,90,12670
15.3.1,2016-09-09,1473448327,0,0,0,0,0,0,10,165,0,0,90,12670
v0.14.6,2016-01-06,1452122793,0,0,0,0,0,0,11,175,0,0,89,12662
v0.14.7,2016-01-28,1454009306,0,0,0,0,0,0,11,175,0,0,89,12662
v0.14.8,2016-03-29,1459266565,0,0,0,0,0,0,11,175,0,0,89,12696
v15.0.0,2016-04-07,1460056070,0,0,0,0,0,0,12,195,0,0,88,12711
15.3.2,2017-03-16,1489715923,0,0,0,0,0,0,8,115,0,0,92,2292
16.0.0-beta.1,2017-07-26,1501098931,0,0,0,0,0,0,13,185,0,0,87,1889
16.0.0-beta.3,2017-08-03,1501801528,0,0,0,0,0,0,24,350,0,0,76,1722
16.0.0-beta.4,2017-08-08,1502208497,0,0,0,0,0,0,30,435,0,0,70,1206
16.0.0-beta.5,2017-08-08,1502213125,0,0,0,0,0,0,30,435,0,0,70,1232
v0.0.0-88ada9819,2018-11-28,1543442205,0,0,0,0,0,0,30,435,0,0,70,1234
v16.3.0,2018-03-29,1522354032,0,0,0,0,0,0,30,435,0,0,70,1226
v16.3.0-alpha.0,2018-02-02,1517605294,0,0,0,0,0,0,27,400,0,0,73,1306
v16.3.0-alpha.1,2018-02-12,1518460901,0,0,1,5,0,0,28,415,0,0,71,1387
v16.3.0-alpha.2,2018-03-14,1521059200,0,0,1,5,0,0,28,415,0,0,71,1371
1.2.5,2019-03-29,1553874819,0,0,1,5,0,0,30,445,0,0,69,1351
status,2019-10-21,1571695735,0,0,1,5,0,0,30,445,0,0,69,1357
v16.10.0,2019-09-25,1569450387,0,0,1,5,0,0,27,400,0,0,72,1389
v16.10.1,2019-09-28,1569693057,0,0,1,5,0,0,23,340,0,0,76,1429
v16.10.2,2019-10-03,1570127072,0,0,1,5,0,0,23,340,0,0,76,1429
0.14.10,2020-10-14,1602703969,0,0,1,5,0,0,23,340,0,0,76,1429
v0.0.0-d7382b6c4,2020-03-30,1585592704,0,0,1,5,0,0,63,955,0,0,36,875
v0.0.0-experimental-8b155d261,2020-03-11,1583955503,0,0,1,5,0,0,65,980,0,0,34,1423
v0.0.0-experimental-aae83a4b9,2020-03-17,1584492974,0,0,1,5,0,0,68,1025,0,0,31,1684
v0.0.0-experimental-d7382b6c4,2020-03-30,1585592704,0,0,0,0,0,0,69,1040,0,0,31,1783
v0.0.0-experimental-27659559e,2021-01-04,1609775180,0,0,0,0,0,0,69,1040,0,0,31,1816
v17.0.2,2021-03-22,1616443295,0,0,0,0,0,0,76,1145,0,0,24,2085
v18.0.0,2022-03-29,1648570053,0,0,0,0,0,0,76,1145,0,0,24,2044
v18.1.0,2022-04-26,1651004928,0,0,0,0,0,0,75,1120,0,0,25,1986
v18.2.0,2022-06-08,1654732789,0,0,0,0,0,0,75,1120,0,0,25,1968
